OCLC Number,WORLDCAT LINK,AUTHOR,AUTHOR URI,TITLE,MUSEUM #,IMPRINT,COUNTRY,DATE,CALL #(BIBLIO),LANG,Column1,,,,,,,
ocm82186344,http://www.worldcat.org/oclc/82186344,,,Art of the West : [annual] guidebook of art.,2000.4.1,"Minnetonka, Minn. : Duerr and Tierney, Ltd. 2001",mnu,2001,AUTRY SERIALS - ART,eng,,,,,,,,
ocm46929198,http://www.worldcat.org/oclc/46929198,"Hassrick, Peter H.",http://viaf.org/viaf/91688296,Drawn to Yellowstone : artists in America's first national park / Peter H. Hassrick.,2000.53.1,"Los Angeles : Autry Museum of Western Heritage   Seattle : In association with University of Washington Press, ©2002.",cau,2002,N 8214.5 .W4 H38 2002,eng,,,,,,,,
ocm50096804,http://www.worldcat.org/oclc/50096804,"Neal, Charles M., author","https://www.worldcat.org/wcidentities/np-neal,%20charles%20m",Valor Across the Lone Star: The Congressional Medal of Honor in Frontier Texas / by Charles M. Neal.,2000.57.1,"Austin, Tex. : Texas State Historical Association, ©2002.",txu,2002,UB 433 N43 2002,eng,,,,,,,,
ocm18462176,http://www.worldcat.org/oclc/18462176,,,MHQ : the quarterly journal of military history.,2000.57.1,"[New York, NY : MHQ, Inc., ©1988]-",vau,2011,"904.705 M44h, 2011",eng,,,,,,,,
ocm81254883,http://www.worldcat.org/oclc/81254883,,,Masters of the American West : fine art exhibition and sale.,2000.58.1,"Los Angeles, Calif. : Autry Museum of Western Heritage, 2000.",cau,2000,N 8214.5 .U6 M37 2000,eng,,,,,,,,
ocn932318790,http://www.worldcat.org/oclc/932318790,,,"Western heroes of pulp fiction : dime novel to pop culture : October 24, 2015 - February 14, 2016.",2000.6.1,"Tucson, Arizona : Tucson Museum of Art and Historic Block, [2015]",azu,2015,N 7760 .W478 2015,eng,,,,,,,,
ocm83321272,http://www.worldcat.org/oclc/83321272,,,Masters of the American West : fine art exhibition and sale.,2001.17.1,"Los Angeles, Calif. : Autry Museum of Western Heritage, 2001.",cau,2001,N 8214.5 .U6 M37 2001,eng,,,,,,,,
ocn883681091,http://www.worldcat.org/oclc/883681091,,,Masters of the American West : fine art exhibition and sale.,2001.5.1,"Los Angeles, Calif. : Autry Museum of Western Heritage, 2002.",cau,2002,N 8214.5 .U6 M37 2002,eng,,,,,,,,
on1005690403,http://www.worldcat.org/oclc/1005690403,"Lozano, Rosina, 1978- author.",http://experiment.worldcat.org/entity/work/data/4566558054#Person/lozano_rosina_1978,An American language : the history of Spanish in the United States / Rosina Lozano.,2002.1.4.13,"Oakland, California : University of California Press, [2018]",cau,2018,PC 4826 .L69 2018,eng,,,,,,,,
ocn908374922,http://www.worldcat.org/oclc/908374922,,,"Testimonios : early California through the eyes of women, 1815-1848 / translated with an introduction and commentary by Rose Marie Beebe and Robert M. Senkewicz.",2002.1.5.33,"Norman, OK : University of Oklahoma Press, [2015]",oku,2015,F 864 .T34 2015,eng,,,,,,,,
